Name,Website,Phone number,City,Location,Search cities,Website active,Website check,Final URL,Source,Detail URL
604 Roof Solutions,https://infiniteroofing.ca/,604-768-8877,Abbotsford,"BC, Canada",Abbotsford; Mission,No,"not reachable or parked: https://infiniteroofing.ca/: HTTPSConnectionPool(host='infiniteroofing.ca', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='infiniteroofing.ca', port=443): Failed to resolve 'infiniteroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://www.infiniteroofing.ca/: HTTPSConnectionPool(host='www.in",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/604-Roof-Solutions/4414956.html
Abbotsford Re-N-Re Roofing,,604-851-2911,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford-Re-N-Re-Roofing/6584116.html
Abbotsford Roofers,,604-772-1481,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford-Roofers/101492311.html
Abbotsford Roofing,http://abbotsford-roofing.com/,604-772-1481,Abbotsford,"407-3192 Gladwin Rd, Abbotsford, BC, V2T 6M9, Canada",Abbotsford; Mission,No,"not reachable or parked: http://abbotsford-roofing.com/: HTTPConnectionPool(host='abbotsford-roofing.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='abbotsford-roofing.com', port=80): Failed to resolve 'abbotsford-roofing.com' ([Errno 11001] getaddrinfo failed)"")) | https://abbotsford-roofing.com/: HTTPSConnectionPool(h",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Abbotsford-Roofing/100764847.html
Abby Roofing Ltd,,604-854-5237,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abby-Roofing-Ltd/100971405.html
Ace Roofing Ltd,,778-246-1414,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Ace-Roofing-Ltd/101034605.html
Advanced Aspect Roofing and Contracting,,778-549-2105,Abbotsford,"606 McKenzie Rd, Abbotsford, BC, V2S 7N4, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Advanced-Aspect-Roofing-and-Contracting/101273616.html
Affordabld Roofing,,778-242-4988,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Affordabld-Roofing/8194629.html
Allpro Roof Restoration,,604-853-6956,Abbotsford,"2544 Alderview St, Abbotsford, BC, V2S 4C9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Allpro-Roof-Restoration/104463787.html
Apps Roofing & Repairs,,604-807-0786,Abbotsford,"34986 Laburnum Ave, Abbotsford, BC, V2S 5M7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Apps-Roofing-Repairs/7964670.html
Assurity Roofing,,778-554-7494,Abbotsford,"33315 Lynn Ave, Abbotsford, BC, V2S 1E1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Assurity-Roofing/102489041.html
Astral Roofing Ltd,,604-857-2104,Abbotsford,"28531 Marsh McCormick Rd, Abbotsford, BC, V4X 2G9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Astral-Roofing-Ltd/104456148.html
Avon Roofing & Construction Ltd,,604-996-2286,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Avon-Roofing-Construction-Ltd/101028398.html
Azimuth Roofing,,855-852-6593,Abbotsford,"6460 2 St Se, Calgary, AB, T2H 1J4, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/Alberta/Calgary/Azimuth-Roofing/102518435.html
B C Damp Proofing,,604-852-4447,Abbotsford,"9-2678 McCallum Rd, Abbotsford, BC, V2S 6X3, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/B-C-Damp-Proofing/6629440.html
Best Price Roofing,,778-878-7663,Abbotsford,"Abbotsford, BC, V2T 6H1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Best-Price-Roofing/101649126.html
Brico Roofing Systems,,604-308-8495,Abbotsford,"301-33675 Marshall Rd, Abbotsford, BC, V2S 1L4, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Brico-Roofing-Systems/104465301.html
Britcan Roofing,,604-226-2853,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Britcan-Roofing/101108675.html
Chilliwack Roofing Ltd.,,604-209-4252,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Chilliwack-Roofing-Ltd/102627237.html
Clearbrook Roofing Ltd,http://www.clearbrookroofing.com/,604-854-1012,Abbotsford,"34313 Farmer Road, Abbotsford, BC, V2S 7M4, Canada",Abbotsford; Mission,Yes,"roofing content, phone match, name match, city match, regional match",https://www.clearbrookroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Clearbrook-Roofing-Ltd/8123915.html
Corbett Dersch Roofing,,604-835-7070,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Corbett-Dersch-Roofing/7707945.html
D&D Roofing Inc,,778-552-7441,Abbotsford,"28504 Starr Rd, Abbotsford, BC, V4X 2C5, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/D-D-Roofing-Inc/104457585.html
Da-Man Roofing,,778-809-1981,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Da-Man-Roofing/8215425.html
Dave Schmidt Roofing,,604-825-3771,Abbotsford,"2564 Gable Crt, Abbotsford, BC, V3G 1M1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Dave-Schmidt-Roofing/104452521.html
Direct Gutter & Roofing,,604-425-0679,Abbotsford,"Abbotsford, BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Direct-Gutter-Roofing/104640355.html
Direct Roofing & Cedar Supplies,,877-850-1767,Abbotsford,"33730 Enterprise Ave, Abbotsford, BC, V2S 7T9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Direct-Roofing-Cedar-Supplies/7407804.html
Direct Roofing & Waterproofing Ltd,http://www.directroofing.ca/,778-552-0550,Abbotsford,"31889 Marshall Pl, Abbotsford, BC, V2T 5Z8, Canada",Abbotsford; Chilliwack; Hope; Mission,Yes,"roofing content, name match, city match, regional match",https://directroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Direct-Roofing-Waterproofing-Ltd/100990151.html
