Name,Phone number,City,Location,Needs website,Called,Answered,Voicemail,Not interested,Wants demo
Abbotsford Re-N-Re Roofing,604-851-2911,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Abbotsford Roofers,604-772-1481,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Abby Roofing Ltd,604-854-5237,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Ace Roofing Ltd,778-246-1414,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Advanced Aspect Roofing and Contracting,778-549-2105,Abbotsford,"606 McKenzie Rd, Abbotsford, BC, V2S 7N4, Canada",Yes,☐,☐,☐,☐,☐
Affordabld Roofing,778-242-4988,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Allpro Roof Restoration,604-853-6956,Abbotsford,"2544 Alderview St, Abbotsford, BC, V2S 4C9, Canada",Yes,☐,☐,☐,☐,☐
Apps Roofing & Repairs,604-807-0786,Abbotsford,"34986 Laburnum Ave, Abbotsford, BC, V2S 5M7, Canada",Yes,☐,☐,☐,☐,☐
Assurity Roofing,778-554-7494,Abbotsford,"33315 Lynn Ave, Abbotsford, BC, V2S 1E1, Canada",Yes,☐,☐,☐,☐,☐
Astral Roofing Ltd,604-857-2104,Abbotsford,"28531 Marsh McCormick Rd, Abbotsford, BC, V4X 2G9, Canada",Yes,☐,☐,☐,☐,☐
Avon Roofing & Construction Ltd,604-996-2286,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Azimuth Roofing,855-852-6593,Abbotsford,"6460 2 St Se, Calgary, AB, T2H 1J4, Canada",Yes,☐,☐,☐,☐,☐
B C Damp Proofing,604-852-4447,Abbotsford,"9-2678 McCallum Rd, Abbotsford, BC, V2S 6X3, Canada",Yes,☐,☐,☐,☐,☐
Best Price Roofing,778-878-7663,Abbotsford,"Abbotsford, BC, V2T 6H1, Canada",Yes,☐,☐,☐,☐,☐
Brico Roofing Systems,604-308-8495,Abbotsford,"301-33675 Marshall Rd, Abbotsford, BC, V2S 1L4, Canada",Yes,☐,☐,☐,☐,☐
Britcan Roofing,604-226-2853,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Chilliwack Roofing Ltd.,604-209-4252,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Corbett Dersch Roofing,604-835-7070,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
D&D Roofing Inc,778-552-7441,Abbotsford,"28504 Starr Rd, Abbotsford, BC, V4X 2C5, Canada",Yes,☐,☐,☐,☐,☐
Da-Man Roofing,778-809-1981,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Dave Schmidt Roofing,604-825-3771,Abbotsford,"2564 Gable Crt, Abbotsford, BC, V3G 1M1, Canada",Yes,☐,☐,☐,☐,☐
Direct Gutter & Roofing,604-425-0679,Abbotsford,"Abbotsford, BC, Canada",Yes,☐,☐,☐,☐,☐
Direct Roofing Ltd,778-402-4035,Abbotsford,"30971 Peardonville Rd, Abbotsford, BC, V2T 6K3, Canada",Yes,☐,☐,☐,☐,☐
Doerksen Roofing,778-769-2635,Abbotsford,"102-33415 MacLure Rd, Abbotsford, BC, V2S 0C4, Canada",Yes,☐,☐,☐,☐,☐
Felix's Roofing Ltd,604-864-8508,Abbotsford,"37658 Atkinson Rd, Abbotsford, BC, V3G 2G7, Canada",Yes,☐,☐,☐,☐,☐
Four Corner Roofing Ltd.,604-614-4710,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Glen's Roofing,604-302-3000,Abbotsford,"2863 Princess St, Abbotsford, BC, V2T 2S7, Canada",Yes,☐,☐,☐,☐,☐
H & E Roofing,778-241-3751,Abbotsford,"2481 Aladdin Cres, Abbotsford, BC, V2S 5K7, Canada",Yes,☐,☐,☐,☐,☐
Howie's Roofing Inc,604-309-1565,Abbotsford,"2874 Upland Cres, Abbotsford, BC, V2T 2E9, Canada",Yes,☐,☐,☐,☐,☐
Huffman & Son Roofing,604-832-2447,Abbotsford,"34059 Hazelwood Ave, Abbotsford, BC, V2S 7R1, Canada",Yes,☐,☐,☐,☐,☐
Integrity Roofing,604-768-0304,Abbotsford,"2151 Maywood Crt, Abbotsford, BC, V2S 4Y9, Canada",Yes,☐,☐,☐,☐,☐
Jambee Roofing,604-613-4852,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Just Clad Metal Roofing,778-347-2523,Abbotsford,"QC, Canada",Yes,☐,☐,☐,☐,☐
Ken Roofing and Restoration Services,604-751-2324,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Loewen Roofing,604-850-0973,Abbotsford,"2351 Beaver St, Abbotsford, BC, V2T 3C9, Canada",Yes,☐,☐,☐,☐,☐
MRI Roofing & Contractors,604-832-1914,Abbotsford,"Abbotsford, BC, V2S 1A1, Canada",Yes,☐,☐,☐,☐,☐
Modren Roofing Inc.,604-300-7684,Abbotsford,"31615 Ridgeview Dr, Abbotsford, BC, V2T 6R9, Canada",Yes,☐,☐,☐,☐,☐
Nick's Roofing,604-309-2349,Abbotsford,"2581 Parkview Street, Abbotsford, BC, V2T 3K9, Canada",Yes,☐,☐,☐,☐,☐
No-Puncture Roof Diagnostics Inc,778-823-2026,Abbotsford,"33494 Rainbow Ave, Abbotsford, BC, V2S 1E7, Canada",Yes,☐,☐,☐,☐,☐
Patch's Surrey Dome Roofing Ltd,604-857-0773,Abbotsford,"28709 Downes Rd, Abbotsford, BC, V4X 1N7, Canada",Yes,☐,☐,☐,☐,☐
Paul Sawatzky Roofing,604-852-4728,Abbotsford,"Po Box 426 Stn A, Abbotsford, BC, V2T 6Z7, Canada",Yes,☐,☐,☐,☐,☐
Penfolds Roofing And Solar,604-379-0338,Abbotsford,"19-36060 Old Yale Rd, Abbotsford, BC, V3G 2E9, Canada",Yes,☐,☐,☐,☐,☐
Perfection Roofing Ltd,604-832-2048,Abbotsford,"29445 Simpson Rd, Abbotsford, BC, V4X 1H9, Canada",Yes,☐,☐,☐,☐,☐
Pilgrims Roof Maintenance,604-302-8739,Abbotsford,"Abbotsford, BC, Canada",Yes,☐,☐,☐,☐,☐
RadClad Metal Roofing,778-840-0181,Abbotsford,"2069 Meadows St, Abbotsford, BC, V2T 3A5, Canada",Yes,☐,☐,☐,☐,☐
Rick's Roofing,604-312-2026,Abbotsford,"32134 Peardonville Rd, Abbotsford, BC, V2T 1M1, Canada",Yes,☐,☐,☐,☐,☐
Rite-Way Roofing Ltd,604-807-6058,Abbotsford,"3378 Saturna Cres, Abbotsford, BC, V2T 4S3, Canada",Yes,☐,☐,☐,☐,☐
Roofing Doctor,778-771-0262,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
Sarao Roofing,604-613-3480,Abbotsford,"BC, Canada",Yes,☐,☐,☐,☐,☐
